DP_000006.csv, 
2.097167e+03, DP_000007.csv, 
1.973760e+03, DP_000008.csv, 
1.989796e+03, DP_000009.csv, 
2.026890e+03, DP_000010.csv, 
1.985462e+03, DP_000011.csv, 
2.181140e+03, DP_000013.csv, 
1.978860e+03, DP_000014.csv, 
2.027235e+03, DP_000015.csv, 
2.160162e+03, DP_000016.csv, 
2.080490e+03, DP_000017.csv, 5.000000e-01
2.175124e+03, DP_000018.csv, 5.000000e-01
2.245555e+03, DP_000019.csv, 5.000000e-01
2.064730e+03, DP_000020.csv, 5.000000e-01
1.969149e+03, DP_000021.csv, 5.000000e-01
2.000407e+03, DP_000022.csv, 5.000000e-01
2.174144e+03, DP_000023.csv, 5.000000e-01
2.228184e+03, DP_000025.csv, 5.000000e-01
2.345869e+03, DP_000026.csv, 5.000000e-01
2.140967e+03, DP_000027.csv, 5.000000e-01
2.014353e+03, DP_000028.csv, 7.000000e-01
2.338463e+03, DP_000029.csv, 7.000000e-01
2.103282e+03, DP_000030.csv, 7.000000e-01
2.127494e+03, DP_000031.csv, 7.000000e-01
2.290584e+03, DP_000032.csv, 7.000000e-01
2.285884e+03, DP_000033.csv, 7.000000e-01
2.039937e+03, DP_000034.csv, 7.000000e-01
2.142293e+03, DP_000035.csv, 7.000000e-01
2.290395e+03, DP_000036.csv, 7.000000e-01
2.169835e+03, DP_000037.csv, 4.000000e-01
2.196546e+03, DP_000038.csv, 4.000000e-01
2.401706e+03, DP_000039.csv, 4.000000e-01
2.226540e+03, DP_000040.csv, 4.000000e-01
2.504830e+03, DP_000041.csv, 4.000000e-01
2.264010e+03, DP_000042.csv, 4.000000e-01
2.173804e+03, DP_000043.csv, 4.000000e-01
1.987113e+03, DP_000044.csv, 4.000000e-01
2.275515e+03, DP_000045.csv, 4.000000e-01
2.368791e+03, DP_000046.csv, 4.000000e-01
2.357005e+03, DP_000047.csv, 6.000000e-01
2.267830e+03, DP_000048.csv, 6.000000e-01
2.180644e+03, DP_000049.csv, 6.000000e-01
2.325834e+03, DP_000050.csv, 6.000000e-01
2.132848e+03, DP_000051.csv, 6.000000e-01
2.093373e+03, DP_000052.csv, 6.000000e-01
2.296234e+03, DP_000053.csv, 6.000000e-01
2.007593e+03, DP_000054.csv, 6.000000e-01
2.272256e+03, DP_000055.csv, 6.000000e-01
2.130348e+03, DP_000056.csv, 6.000000e-01
2.371644e+03, DP_000057.csv, 8.000000e-01
2.450016e+03, DP_000058.csv, 8.000000e-01
2.312539e+03, DP_000059.csv, 8.000000e-01
2.205641e+03, DP_000061.csv, 8.000000e-01
2.297600e+03, DP_000062.csv, 8.000000e-01
2.184282e+03, DP_000063.csv, 8.000000e-01
2.455611e+03, DP_000064.csv, 8.000000e-01
2.458474e+03, 